Zip Code Name,Territory: ID,Territory: Territory Name,Territory Role,
98250,a003600000IBbnF,RM - AK/WA/OR,RM,
98251,a003600000IBbnF,RM - AK/WA/OR,RM,
98252,a003600000IBbnF,RM - AK/WA/OR,RM,
98253,a003600000IBbnF,RM - AK/WA/OR,RM,
98255,a003600000IBbnF,RM - AK/WA/OR,RM,
98256,a003600000IBbnF,RM - AK/WA/OR,RM,
98257,a003600000IBbnF,RM - AK/WA/OR,RM,
98258,a003600000IBbnF,RM - AK/WA/OR,RM,
98259,a003600000IBbnF,RM - AK/WA/OR,RM,
98260,a003600000IBbnF,RM - AK/WA/OR,RM,
98261,a003600000IBbnF,RM - AK/WA/OR,RM,
98262,a003600000IBbnF,RM - AK/WA/OR,RM,
98263,a003600000IBbnF,RM - AK/WA/OR,RM,
98264,a003600000IBbnF,RM - AK/WA/OR,RM,
98266,a003600000IBbnF,RM - AK/WA/OR,RM,
98267,a003600000IBbnF,RM - AK/WA/OR,RM,
98270,a003600000IBbnF,RM - AK/WA/OR,RM,
98277,a003600000IBbnF,RM - AK/WA/OR,RM,
98278,a003600000IBbnF,RM - AK/WA/OR,RM,
98279,a003600000IBbnF,RM - AK/WA/OR,RM,
98271,a003600000IBbnF,RM - AK/WA/OR,RM,
98272,a003600000IBbnF,RM - AK/WA/OR,RM,
98280,a003600000IBbnF,RM - AK/WA/OR,RM,
98281,a003600000IBbnF,RM - AK/WA/OR,RM,
98282,a003600000IBbnF,RM - AK/WA/OR,RM,
98283,a003600000IBbnF,RM - AK/WA/OR,RM,
98284,a003600000IBbnF,RM - AK/WA/OR,RM,
98286,a003600000IBbnF,RM - AK/WA/OR,RM,
98287,a003600000IBbnF,RM - AK/WA/OR,RM,
98288,a003600000IBbnF,RM - AK/WA/OR,RM,
98290,a003600000IBbnF,RM - AK/WA/OR,RM,
98291,a003600000IBbnF,RM - AK/WA/OR,RM,
98292,a003600000IBbnF,RM - AK/WA/OR,RM,
98293,a003600000IBbnF,RM - AK/WA/OR,RM,
98294,a003600000IBbnF,RM - AK/WA/OR,RM,
98295,a003600000IBbnF,RM - AK/WA/OR,RM,
98296,a003600000IBbnF,RM - AK/WA/OR,RM,
98297,a003600000IBbnF,RM - AK/WA/OR,RM,
98303,a003600000IBbnF,RM - AK/WA/OR,RM,
98304,a003600000IBbnF,RM - AK/WA/OR,RM,
98305,a003600000IBbnF,RM - AK/WA/OR,RM,
98310,a003600000IBbnF,RM - AK/WA/OR,RM,
98311,a003600000IBbnF,RM - AK/WA/OR,RM,
98312,a003600000IBbnF,RM - AK/WA/OR,RM,
98314,a003600000IBbnF,RM - AK/WA/OR,RM,
98315,a003600000IBbnF,RM - AK/WA/OR,RM,
98320,a003600000IBbnF,RM - AK/WA/OR,RM,
98273,a003600000IBbnF,RM - AK/WA/OR,RM,
98274,a003600000IBbnF,RM - AK/WA/OR,RM,
98275,a003600000IBbnF,RM - AK/WA/OR,RM,
98276,a003600000IBbnF,RM - AK/WA/OR,RM,
98321,a003600000IBbnF,RM - AK/WA/OR,RM,
98322,a003600000IBbnF,RM - AK/WA/OR,RM,
98323,a003600000IBbnF,RM - AK/WA/OR,RM,
98324,a003600000IBbnF,RM - AK/WA/OR,RM,
98325,a003600000IBbnF,RM - AK/WA/OR,RM,
98326,a003600000IBbnF,RM - AK/WA/OR,RM,
98327,a003600000IBbnF,RM - AK/WA/OR,RM,
98328,a003600000IBbnF,RM - AK/WA/OR,RM,
98329,a003600000IBbnF,RM - AK/WA/OR,RM,
98330,a003600000IBbnF,RM - AK/WA/OR,RM,
98331,a003600000IBbnF,RM - AK/WA/OR,RM,
98332,a003600000IBbnF,RM - AK/WA/OR,RM,
98333,a003600000IBbnF,RM - AK/WA/OR,RM,
98335,a003600000IBbnF,RM - AK/WA/OR,RM,
98336,a003600000IBbnF,RM - AK/WA/OR,RM,
98337,a003600000IBbnF,RM - AK/WA/OR,RM,
98338,a003600000IBbnF,RM - AK/WA/OR,RM,
98339,a003600000IBbnF,RM - AK/WA/OR,RM,
98340,a003600000IBbnF,RM - AK/WA/OR,RM,
98342,a003600000IBbnF,RM - AK/WA/OR,RM,
98343,a003600000IBbnF,RM - AK/WA/OR,RM,
98344,a003600000IBbnF,RM - AK/WA/OR,RM,
98345,a003600000IBbnF,RM - AK/WA/OR,RM,
98346,a003600000IBbnF,RM - AK/WA/OR,RM,
98348,a003600000IBbnF,RM - AK/WA/OR,RM,
98349,a003600000IBbnF,RM - AK/WA/OR,RM,
98350,a003600000IBbnF,RM - AK/WA/OR,RM,
98351,a003600000IBbnF,RM - AK/WA/OR,RM,
98352,a003600000IBbnF,RM - AK/WA/OR,RM,
98353,a003600000IBbnF,RM - AK/WA/OR,RM,
98354,a003600000IBbnF,RM - AK/WA/OR,RM,
98355,a003600000IBbnF,RM - AK/WA/OR,RM,
98356,a003600000IBbnF,RM - AK/WA/OR,RM,
98357,a003600000IBbnF,RM - AK/WA/OR,RM,
98358,a003600000IBbnF,RM - AK/WA/OR,RM,
98359,a003600000IBbnF,RM - AK/WA/OR,RM,
98360,a003600000IBbnF,RM - AK/WA/OR,RM,
98361,a003600000IBbnF,RM - AK/WA/OR,RM,
98362,a003600000IBbnF,RM - AK/WA/OR,RM,
98363,a003600000IBbnF,RM - AK/WA/OR,RM,
98364,a003600000IBbnF,RM - AK/WA/OR,RM,
98365,a003600000IBbnF,RM - AK/WA/OR,RM,
98366,a003600000IBbnF,RM - AK/WA/OR,RM,
98367,a003600000IBbnF,RM - AK/WA/OR,RM,
98368,a003600000IBbnF,RM - AK/WA/OR,RM,
98101,a003600000IBbnF,RM - AK/WA/OR,RM,
98102,a003600000IBbnF,RM - AK/WA/OR,RM,
98103,a003600000IBbnF,RM - AK/WA/OR,RM,
98104,a003600000IBbnF,RM - AK/WA/OR,RM,
98370,a003600000IBbnF,RM - AK/WA/OR,RM,
98371,a003600000IBbnF,RM - AK/WA/OR,RM,
98372,a003600000IBbnF,RM - AK/WA/OR,RM,
98373,a003600000IBbnF,RM - AK/WA/OR,RM,
98374,a003600000IBbnF,RM - AK/WA/OR,RM,
98375,a003600000IBbnF,RM - AK/WA/OR,RM,
98376,a003600000IBbnF,RM - AK/WA/OR,RM,
98105,a003600000IBbnF,RM - AK/WA/OR,RM,
98106,a003600000IBbnF,RM - AK/WA/OR,RM,
98107,a003600000IBbnF,RM - AK/WA/OR,RM,
98108,a003600000IBbnF,RM - AK/WA/OR,RM,
98109,a003600000IBbnF,RM - AK/WA/OR,RM,
98110,a003600000IBbnF,RM - AK/WA/OR,RM,
98111,a003600000IBbnF,RM - AK/WA/OR,RM,
98112,a003600000IBbnF,RM - AK/WA/OR,RM,
98113,a003600000IBbnF,RM - AK/WA/OR,RM,
98114,a003600000IBbnF,RM - AK/WA/OR,RM,
98115,a003600000IBbnF,RM - AK/WA/OR,RM,
98116,a003600000IBbnF,RM - AK/WA/OR,RM,
98117,a003600000IBbnF,RM - AK/WA/OR,RM,
98118,a003600000IBbnF,RM - AK/WA/OR,RM,
98119,a003600000IBbnF,RM - AK/WA/OR,RM,
98121,a003600000IBbnF,RM - AK/WA/OR,RM,
98122,a003600000IBbnF,RM - AK/WA/OR,RM,
98124,a003600000IBbnF,RM - AK/WA/OR,RM,
98125,a003600000IBbnF,RM - AK/WA/OR,RM,
98126,a003600000IBbnF,RM - AK/WA/OR,RM,
98127,a003600000IBbnF,RM - AK/WA/OR,RM,
98129,a003600000IBbnF,RM - AK/WA/OR,RM,
98131,a003600000IBbnF,RM - AK/WA/OR,RM,
98133,a003600000IBbnF,RM - AK/WA/OR,RM,
98134,a003600000IBbnF,RM - AK/WA/OR,RM,
98136,a003600000IBbnF,RM - AK/WA/OR,RM,
98138,a003600000IBbnF,RM - AK/WA/OR,RM,
98139,a003600000IBbnF,RM - AK/WA/OR,RM,
98141,a003600000IBbnF,RM - AK/WA/OR,RM,
98377,a003600000IBbnF,RM - AK/WA/OR,RM,
98378,a003600000IBbnF,RM - AK/WA/OR,RM,
98380,a003600000IBbnF,RM - AK/WA/OR,RM,
97001,a003600000IBbnF,RM - AK/WA/OR,RM,
97002,a003600000IBbnF,RM - AK/WA/OR,RM,
97003,a003600000IBbnF,RM - AK/WA/OR,RM,
97004,a003600000IBbnF,RM - AK/WA/OR,RM,
97005,a003600000IBbnF,RM - AK/WA/OR,RM,
97006,a003600000IBbnF,RM - AK/WA/OR,RM,
97007,a003600000IBbnF,RM - AK/WA/OR,RM,
97008,a003600000IBbnF,RM - AK/WA/OR,RM,
97009,a003600000IBbnF,RM - AK/WA/OR,RM,
97010,a003600000IBbnF,RM - AK/WA/OR,RM,
97011,a003600000IBbnF,RM - AK/WA/OR,RM,
97013,a003600000IBbnF,RM - AK/WA/OR,RM,
97014,a003600000IBbnF,RM - AK/WA/OR,RM,
97015,a003600000IBbnF,RM - AK/WA/OR,RM,
97016,a003600000IBbnF,RM - AK/WA/OR,RM,
97017,a003600000IBbnF,RM - AK/WA/OR,RM,
97018,a003600000IBbnF,RM - AK/WA/OR,RM,
97019,a003600000IBbnF,RM - AK/WA/OR,RM,
97020,a003600000IBbnF,RM - AK/WA/OR,RM,
97021,a003600000IBbnF,RM - AK/WA/OR,RM,
97022,a003600000IBbnF,RM - AK/WA/OR,RM,
